Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,0.015516422,0.034793508,0.029173198,0.06014991,0.065226886,0.058458995,,,,,,,,,,,,,,,,,,,,0.016272106,0.010029386,0.010272373,0.011787505,0.014161211,0.00531448,0.004146807,0.005297605,0.002241291,0.002378189,0.003230746,0.105067666,0.095936682,0.083542167,0.037677038,
Angola,AGO,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,20.48459116,10.66944748,22.90638292,23.03712422,24.91082834,35.01595907,17.29855685,44.08177068,40.3245359,49.83042595,47.66890876,45.40119381,40.7970414,23.39847249,47.41042296,60.45173822,44.09783712,37.09530272,35.14547586,44.31214412,59.20695001,53.5855615,50.83206546,57.59196922,27.64902022,38.61862673,44.11706521,41.15344771,34.50816694,27.15919145,10.73397659,
Albania,ALB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,14.36431865,13.44770982,4.387754195,6.552706167,4.245886349,5.92275572,7.276798995,3.954536675,3.805012646,2.199431713,1.294469585,1.019120985,0.984573853,1.069243952,0.136039483,0.405608383,0.914881888,0.622823683,0.654590549,0.650580487,0.488093257,0.842589086,1.169243906,0.884089584,1.069874332,0.751034891,1.530367571,2.744927401,3.079271099,3.235583626,3.121527644,1.385442509,
Andorra,AND,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.07122532,0.061192256,0.107593489,0.338086656,30.00098655,24.1395023,26.0566403,26.12970397,24.05929528,55.07011915,46.17986588,30.80729115,20.46958118,20.68577716,20.36128401,17.91065851,9.740504036,13.68647773,12.53327842,19.51783549,21.08109397,16.36340651,17.02722116,16.27954314,14.37488482,15.22114729,18.57436281,15.80112657,9.412246636,13.55851891,22.74619397,18.05891054,17.75994956,21.02584404,26.53897047,33.19475343,33.63655831,30.59595508,34.46706809,21.1269205,26.03510215,31.50771179,29.6411414,27.2516231,24.40590131,13.66827693,
United Arab Emirates,ARE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,24.02600619,27.17813879,23.93898319,23.52101284,51.12520446,38.60482822,27.14246476,18.27559628,19.53649315,20.31863646,18.42713219,11.71376716,17.88906382,15.29666814,23.98899714,31.69592946,20.10616984,20.09092104,17.10498938,13.83078175,13.64471239,16.66337027,13.90832417,7.982818262,10.78696086,18.04933352,13.33381089,12.18839961,15.11650935,17.97833873,21.10207464,23.27444467,21.16274214,24.18189381,15.75853483,20.17780695,24.83325469,24.83726815,24.04403394,21.36982796,11.20583639,
Argentina,ARG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.000141978,0.000624692,0.000673118,0.004084339,1.066333245,1.379761536,1.652980933,1.423026545,1.43914148,4.278461012,5.260051477,4.260757708,2.239173737,2.523010061,3.070544623,2.573848339,0.657360882,1.24372016,0.782819878,2.281005551,1.912680532,0.739754437,0.770514881,0.767267594,0.726567931,0.889535275,1.240250487,1.031756692,0.43585539,0.920242767,1.794008689,1.344817802,3.881392532,3.441835551,3.471705101,4.223674324,4.227097637,3.386103031,3.646407166,1.84305114,2.129501789,2.5823575,2.273048511,2.020881601,2.008138814,0.605898356,
Armenia,ARM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
American Samoa,ASM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0.065902821,0.12658147,0.286278146,1.151728364,1.137456873,1.174134455,1.329321916,1.237147547,2.781878616,2.650801596,1.681308531,0.862091745,1.195035562,1.402847315,1.766546545,0.839474754,1.214161205,0.724751006,0.747856095,1.134497268,0.601281212,0.584200968,0.572151973,0.460591435,0.471991203,0.483842493,0.391001267,0.232671498,0.305906918,0.863126745,0.716381496,0.810694211,0.775742876,0.711107155,0.865826641,0.840403021,0.850666771,0.900702526,0.500917449,0.691316553,0.829303241,0.65226489,0.497611614,0.441261861,0.152220963,
Austria,AUT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.002707025,0.003706961,0.003414812,0.003756746,0.173391413,0.143862636,0.159246043,0.142210698,0.114020026,0.24448276,0.264375611,0.23186715,0.172994672,0.183762804,0.172863283,0.157414447,0.043714673,0.053967751,0.041213885,0.065532835,0.070131895,0.036311894,0.030199943,0.028474365,0.02412839,0.023755894,0.031985905,0.025140223,0.005539699,0.021251199,0.056588334,0.041408956,0.040501419,0.037768278,0.045007774,0.061080186,0.069993248,0.063902934,0.078583571,0.042797369,0.063475269,0.084522534,0.084211864,0.082387414,0.070650928,0.034312482,
Azerbaijan,AZE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.18510176,6.260717627,9.951382506,11.39883907,11.56141695,13.46464333,17.8081988,15.15069908,3.008305853,14.66799327,32.34688155,22.8891899,22.47113562,24.38646696,26.80889218,36.78507493,41.71406404,36.61105643,34.67288136,23.27327733,28.99759559,32.66860616,28.42859254,23.56490716,19.43070196,11.03979677,
Burundi,BDI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
